Step	Best	Median	Predicted	Progress
0	95.6337	96.2982	0	0
1	95.4594	95.9345	8.27829	0.00182656
2	94.4635	95.5747	-198.089	0.00617486
3	64.6146	94.5771	-404.868	0.0105882
4	54.2972	66.4271	-5215.46	0.150336
5	45.6413	64.3344	-5123.66	0.157877
6	21.9618	58.5486	-6109.59	0.203166
7	16.6696	27.9284	-6254.6	0.230998
8	16.6551	23.7717	-5710.62	0.235463
9	14.2235	17.7733	-5165.01	0.230731
10	10.5777	15.6194	-5168.87	0.255093
11	1.15878	12.5411	-5061.71	0.278897
12	1.13804	6.70561	-4404.85	0.242778
13	1.09914	1.20232	-3617.46	0.222374
14	1.07083	1.14241	-2940.29	0.189384
15	1.03568	1.09654	-2276.14	0.174248
16	1.0269	1.07022	-2067.44	0.173615
17	0.971772	1.04741	-1830.97	0.172745
18	0.902282	1.02695	-1710.51	0.172284
19	0.840243	1.00814	-1559.37	0.171445
