Step	Best	Median	Predicted	Progress
0	95.6337	96.2982	0	0
1	95.4594	95.9345	8.27829	0.00182656
2	94.4635	95.5747	-198.089	0.00617486
3	64.6146	94.5771	-404.868	0.0105882
4	54.2972	66.4271	-5215.46	0.150336
5	45.6413	64.3344	-5123.66	0.157877
6	21.9618	58.5486	-6109.59	0.203166
7	16.6696	27.9284	-6254.6	0.230998
8	16.6551	23.7717	-5710.62	0.235463
9	14.2235	17.7733	-5165.01	0.230731
10	10.5777	15.6194	-5168.87	0.255093
11	1.15878	12.5411	-5061.71	0.278897
12	1.13804	6.70561	-4404.85	0.242778
13	1.09914	1.20232	-3617.46	0.222374
14	1.07083	1.14241	-2940.29	0.189384
15	1.03568	1.09654	-2276.14	0.174248
16	1.0269	1.07022	-2067.44	0.173615
17	0.971772	1.04741	-1830.97	0.172745
18	0.902282	1.02695	-1710.51	0.172284
19	0.840243	1.00814	-1559.37	0.171445
20	0.869082	6.59001	-1467.23	0.170867
21	0.878275	0.99393	-1331.86	0.170118
22	0.867453	1.03438	-988.203	0.166775
23	0.831259	6.85572	-33.9301	0.0440087
24	0.933073	1.00333	-32.1842	0.0432636
25	0.918908	6.16461	-30.3433	0.0405381
26	0.880462	1.03048	-29.411	0.0385559
27	0.877046	1.01397	-26.7761	0.0366341
28	0.840462	1.0056	-21.5547	0.0321887
29	0.963992	1.11201	-16.3076	0.0271551
30	0.889253	1.07497	-16.1208	0.0272233
31	0.829996	1.02575	-15.9301	0.0270993
32	0.817559	0.987512	-15.8382	0.0271023
33	0.818687	0.899876	-15.5245	0.0270295
34	0.807865	0.871018	-14.9249	0.0265677
35	0.812874	9.16485	-14.1077	0.0250835
36	0.827565	1.01636	-13.6553	0.0241335
37	0.840891	13.16	-12.9826	0.0234404
38	0.835099	1.09331	-11.0549	0.0211219
39	0.825411	1.02367	-7.31857	0.0157398
40	0.875738	1.09045	-6.92258	0.015071
41	0.818466	1.00378	-6.28577	0.013885
42	0.822335	0.887393	-5.85336	0.0131535
43	0.854719	0.950385	-5.48491	0.0124975
44	0.802409	1.03086	-5.0137	0.0116308
45	0.83229	0.908805	-4.48815	0.0105991
46	0.879642	7.29635	-4.1456	0.0100316
47	0.869503	1.03055	-4.12371	0.0100199
48	0.848675	8.20906	-3.9264	0.00962207
49	0.864205	1.03268	-3.72268	0.00925504
50	0.855408	1.03404	-3.32973	0.00856466
51	0.892334	1.05664	-2.49147	0.00685242
52	0.868047	0.969261	-2.14265	0.0061864
53	0.827086	1.01767	-1.96615	0.00585457
54	0.845226	0.914406	-1.83271	0.00559614
55	0.81945	0.922622	-1.52827	0.00499227
56	0.833096	6.049	-1.35942	0.00465662
57	0.837099	7.01559	-1.32426	0.00459177
58	0.797262	0.973154	-1.31593	0.00457871
59	0.845115	0.993517	-1.26845	0.00448913
60	0.873369	1.0517	-1.17713	0.00431047
61	0.863279	0.922709	-1.05724	0.00406497
62	0.845636	1.05609	-0.69242	0.00331867
63	0.905512	6.90505	-0.536321	0.00299979
64	0.88912	1.00537	-0.426658	0.00277434
65	0.845487	0.962324	-0.25829	0.00242181
