Step	Best	Median	Predicted	Progress
0	91.1218	94.7376	0	0
1	91.0672	92.2212	63.7768	0.000599345
2	90.9428	91.4498	46.206	0.000983362
3	90.8337	91.311	36.2874	0.00119957
4	90.6	91.3654	32.3445	0.00128438
5	90.1846	90.8294	28.3514	0.00136993
6	71.1586	90.0724	2.58469	0.00193329
7	47.6572	87.5808	-27.1569	0.00258536
8	25.0493	70.7757	-73.4742	0.00360875
9	30.9846	65.2895	-120.127	0.00465543
10	1.70085	62.1014	-3779.01	0.128794
11	36.6909	64.5038	-4050.26	0.142441
12	44.995	59.1299	-3326.55	0.110234
13	1.76245	64.9984	-3949.27	0.157128
14	10.9186	48.8448	-3920.44	0.163729
15	11.0604	66.3438	-3538.15	0.138994
16	7.48247	55.2229	-3303.04	0.137499
17	17.4981	58.3577	-3132.16	0.130764
18	1.71139	69.6101	-2888.66	0.128255
19	11.2304	67.547	-2679.09	0.125836
20	31.9823	63.126	-2357.63	0.112995
21	11.0867	49.6223	-2125.79	0.0973972
22	1.67301	56.4562	-1857.28	0.095028
