Step	Best	Median	Predicted	Progress
0	83.6574	96.1319	0	0
1	89.5205	95.1156	3021.05	-0.0654941
2	83.2616	92.047	-15.6993	0.00237429
3	80.6833	90.7267	-1208.44	0.0309657
4	82.4289	90.5397	-668.375	0.0181461
5	83.1986	91.3185	-98.7358	0.00436616
6	82.9624	90.7416	25.0451	0.00139137
7	81.4474	87.3752	-44.3154	0.00305337
8	76.1957	91.1604	-95.5312	0.00429064
9	82.4224	88.0094	-44.8205	0.00306272
10	80.7266	90.9608	-66.9832	0.00360022
11	78.702	91.022	-75.667	0.00380992
12	81.1674	90.386	-67.5741	0.00361323
13	81.9233	88.9763	-49.6284	0.00317384
14	78.2252	83.2704	-68.1649	0.00362633
15	76.7211	84.8267	-76.915	0.00383918
16	82.1679	84.4169	-68.7557	0.00363953
17	76.0296	85.709	-73.0173	0.00374346
18	79.7442	86.5717	-63.2863	0.00350379
19	75.1453	87.0023	-73.6236	0.00375752
20	77.375	90.1665	-85.6336	0.00405131
21	75.6762	88.8	-97.9041	0.00435782
22	71.6455	85.0421	-118.254	0.0048697
23	80.6267	89.9981	-98.6021	0.00437689
24	74.0262	89.9116	-119.03	0.00489353
25	80.8045	90.1295	-99.3001	0.00439613
26	74.6922	87.3932	-104.309	0.00452283
27	70.5519	83.9257	-110.967	0.004693
28	73.6829	87.3474	-110.855	0.00469172
29	80.3383	85.1453	-107.953	0.00461948
30	81.6803	90.7342	-104.882	0.00454268
31	74.012	84.0918	-99.4728	0.00440595
32	81.8128	90.0581	-90.2896	0.00417069
33	81.023	88.0361	-83.547	0.0040038
34	80.29	89.8341	-81.5683	0.00395428
35	78.587	89.9208	-74.754	0.00377988
36	72.3823	85.4168	-82.1872	0.00396998
37	79.4329	90.1873	-74.0824	0.00376218
38	74.2917	88.0642	-61.4803	0.00344112
39	81.2985	90.1596	-49.4986	0.00313821
40	70.5972	90.0639	-57.3896	0.00333574
41	68.1891	89.8018	-70.4432	0.00366799
42	79.1264	87.8655	-57.912	0.00334691
43	50.8789	89.2648	-71.0127	0.00368149
44	80.2156	90.1529	-58.4344	0.00335815
45	75.3643	92.5233	-46.0614	0.00304627
46	66.9871	88.0862	-58.9568	0.00336946
47	66.0512	92.1993	-70.9563	0.00367799
48	69.8358	83.8495	-60.6351	0.00341372
49	69.757	85.8531	-57.6106	0.00333707
50	60.5243	89.833	-69.0194	0.00362833
51	72.4027	83.6195	-58.1242	0.00334824
52	77.8788	89.8684	-53.3729	0.00322451
53	63.693	86.0185	-58.6378	0.00335949
54	74.7329	87.4926	-53.8685	0.00323494
55	69.8417	89.7408	-54.1811	0.00324133
56	74.827	85.2594	-51.9587	0.00318392
57	61.5331	90.5596	-54.677	0.00325187
58	78.6429	92.2411	-52.4456	0.00319409
59	71.1046	92.18	-43.9276	0.00297773
60	64.5235	89.651	-52.9325	0.00320432
61	71.2783	89.2539	-42.7298	0.00294461
62	79.1657	90.2646	-40.9744	0.00289667
63	78.3245	90.3348	-37.8851	0.00281652
64	78.1624	90.4641	-31.3344	0.00265232
65	76.6866	90.7614	-24.6423	0.00248477
66	75.5163	90.4688	-20.4904	0.00238018
67	80.878	90.1605	-15.3521	0.00225084
68	77.1914	89.0749	-12.2511	0.0021727
69	68.3012	86.019	-12.2859	0.00217207
70	77.6588	87.372	-9.80051	0.00210933
71	71.8919	87.9204	-9.07878	0.00209003
72	80.3193	86.213	-7.75613	0.00205595
73	73.6594	82.9065	-1.78129	0.00190883
74	72.6218	80.5201	1.0041	0.00183965
75	65.9418	75.9654	-2.07523	0.00191248
76	66.3181	76.2323	-8.3879	0.00206444
77	69.2684	78.1801	-3.77163	0.00195021
78	66.7744	73.6273	-5.45237	0.00198941
79	60.8939	70.8642	-8.76083	0.0020686
80	47.9631	69.2261	-10.3522	0.00210578
81	43.9998	66.8581	-14.4304	0.00220503
82	36.0092	57.5577	-16.4743	0.00225452
83	24.1667	59.5643	-17.4797	0.00227777
84	1.37606	40.3028	-18.5928	0.0023039
85	1.34444	47.8851	-23.901	0.00243583
86	1.3489	25.4654	-27.2125	0.00251709
87	1.33948	1.50295	-31.6123	0.00262764
88	1.30098	1.42884	-33.5057	0.00267404
89	1.31749	1.41519	-38.1391	0.00279088
90	1.29377	1.34735	-40.604	0.00285268
91	1.22654	1.36177	-45.1461	0.00296747
92	1.22436	1.34808	-54.8988	0.00321934
93	1.26351	1.31425	-56.9007	0.00327116
94	1.23975	1.34687	-58.834	0.00332469
95	1.20817	29.5516	-62.1884	0.0034127
96	1.23042	1.3023	-66.799	0.00353494
97	1.19291	1.3095	-73.1514	0.00371277
98	1.16568	1.26472	-74.8569	0.00376225
99	1.2061	1.28791	-76.4226	0.00380724
100	1.19273	1.25326	-82.8848	0.00399028
101	1.13044	1.26529	-88.6929	0.00415615
102	1.11531	39.9087	-91.2915	0.00423073
103	1.11147	74.7077	-96.7324	0.00439171
104	1.08464	1.22037	-100.142	0.0044961
105	1.09583	1.16157	-104.574	0.00463177
106	1.03585	1.1968	-108.603	0.00475144
107	1.01985	37.4978	-110.993	0.00482581
108	1.07398	1.16966	-114.712	0.00494158
109	1.05137	1.1584	-119.321	0.00508632
110	1.07021	31.8762	-125.972	0.00529573
111	1.05258	1.15732	-131.285	0.00547677
112	1.09965	55.1902	-136.46	0.00565643
113	1.08057	1.22548	-141.13	0.0058157
114	1.0354	1.15159	-143.912	0.0059195
115	1.00061	1.14487	-148.821	0.006079
116	1.07126	64.3414	-153.991	0.00625798
117	1.07578	1.12458	-166.007	0.00665997
118	1.10231	1.13091	-169.624	0.00679463
119	1.05908	1.13054	-179.542	0.00715057
120	1.06621	1.12958	-184.419	0.0073524
121	1.02088	43.2968	-189.821	0.0075827
122	1.0518	53.6476	-192.345	0.00770423
123	1.08259	1.11336	-198.466	0.00797476
124	1.08266	1.13968	-215.32	0.00867184
125	1.07953	1.20259	-230.022	0.00932842
126	1.07542	1.10942	-254.787	0.0104117
127	1.01847	1.17458	-265.202	0.0109252
128	1.05876	1.15743	-275.306	0.0114783
129	1.04274	51.2975	-292.584	0.0125589
130	1.07081	58.4795	-319.663	0.0141248
131	1.07531	1.13452	-333.903	0.0150442
132	1.08793	1.12784	-333.232	0.0151035
133	1.07689	1.15035	-336.255	0.0152243
134	1.0896	1.13809	-342.212	0.0155016
135	1.08074	1.10437	-341.756	0.0155199
136	1.04693	1.14443	-345.76	0.0158491
137	1.04089	53.6771	-355.786	0.0163932
138	1.03857	1.10138	-357.147	0.0165161
139	1.02009	1.09939	-365.792	0.0168644
140	1.03848	1.07316	-367.404	0.0169574
141	1.04371	1.08996	-370.326	0.0171434
142	1.03588	1.16688	-374.371	0.0174924
143	1.02113	1.08891	-372.73	0.0174378
144	1.02638	52.0654	-370.328	0.01738
145	1.04505	56.0169	-370.699	0.0174782
146	1.03131	1.1171	-368.941	0.0174665
147	1.05625	60.1084	-370.337	0.0176525
148	1.04133	1.09898	-370.418	0.0177408
149	1.02356	1.0934	-372.25	0.0178539
150	1.03342	1.08586	-373.183	0.017861
